"path","category","evidence","production_evidence","sha256_current"
"public/tauri.svg","C","Logo de plantilla; Vite/Tauri trasladados fuera de public, React sin importacion","Ausente de ubicacion original (preexistente o trasladado segun categoria)",""
"public/vite.svg","C","Logo de plantilla; Vite/Tauri trasladados fuera de public, React sin importacion","Ausente de ubicacion original (preexistente o trasladado segun categoria)",""
"src-tauri/icons/128x128.png","D","Identificacion individual pendiente","No confirmado por cotejo de dist","19b4fec485db7df51a691fcce72a3dd6f983e754fc4262da7154e4a4c688f69e"
"src-tauri/icons/128x128@2x.png","D","Identificacion individual pendiente","No confirmado por cotejo de dist","6c7660390d65217fe8de0892862254f47aee77e0af7096c75b8bfe168c5403f7"
"src-tauri/icons/32x32.png","D","Identificacion individual pendiente","No confirmado por cotejo de dist","1c6782dc65c8111c12cbc1882a0fea5e71ab8e51b18da2ce9580f5c88860ed02"
"src-tauri/icons/HISFuture.ico","A","Creacion propia confirmada por declaracion humana de Matias Escobedo para el conjunto HISFuture","SI: copia con el mismo hash en dist/assets","84c627ffc1a2dade67f68bd7ef33dfe23851c3449eba5d2d515585333ce99b2c"
"src-tauri/icons/HISProject.ico","A","Creacion propia confirmada; Matias Escobedo","SI: include_bytes! en Rust para asociacion/exportacion de proyecto","d2a7aa47ca8bfbd2b8db9f947f496191aeeac6641df86692bbd96888acca7528"
"src-tauri/icons/Square107x107Logo.png","D","Identificacion individual pendiente","No confirmado por cotejo de dist","54f7a0f58c96a4b023c1edc4b53fc443e27dace50e345f6936fa29bc20f785ca"
"src-tauri/icons/Square142x142Logo.png","D","Identificacion individual pendiente","No confirmado por cotejo de dist","fec1e2080ca73cd4c4a123b23b1cd364059a8a8efeba3076e21dfefed390693b"
"src-tauri/icons/Square150x150Logo.png","D","Identificacion individual pendiente","No confirmado por cotejo de dist","65fb570cb0e61ffce02ad67784cb200a0bf058400300980a46fa0d0c8f43a77a"
"src-tauri/icons/Square284x284Logo.png","D","Identificacion individual pendiente","No confirmado por cotejo de dist","ea0b7c5d4b1d1ab9c91d2f7c9b069c8dfbf4557b0649a5777d47332cde610262"
"src-tauri/icons/Square30x30Logo.png","D","Identificacion individual pendiente","No confirmado por cotejo de dist","cc72279c41b4ed343e8db7e7541ceef7b6b23edaa83d4e7338421dfcb8d63c33"
"src-tauri/icons/Square310x310Logo.png","D","Identificacion individual pendiente","No confirmado por cotejo de dist","9733a89c539115de3c49bd06720bfc99639d9a918f5df48a810e267cf3554119"
"src-tauri/icons/Square44x44Logo.png","D","Identificacion individual pendiente","No confirmado por cotejo de dist","10be9840e58fb018eb9029601d42008e16c0c9cfa66b8f9467fee94f600160d4"
"src-tauri/icons/Square71x71Logo.png","D","Identificacion individual pendiente","No confirmado por cotejo de dist","2937fc83324cd9a1fddcfefd5927c791af31996a6840bfb3e2f1d578ad4129de"
"src-tauri/icons/Square89x89Logo.png","D","Identificacion individual pendiente","No confirmado por cotejo de dist","12aed0e7ee06cb631427dc9da72c0c7ecf03857fbc4884d0c31f78314feb6c7f"
"src-tauri/icons/StoreLogo.png","D","Identificacion individual pendiente","No confirmado por cotejo de dist","91a54024dd47230991546088f2e75d3e3199b3ccc9fe40f3f6b7d3bf1cbf7776"
"src-tauri/icons/icon.icns","D","Identificacion individual pendiente","No confirmado por cotejo de dist","3dc10493b7de48a61de58f768f8a5708d3a44a068c148cedf0502b9b9b71ba5d"
"src-tauri/icons/icon.ico","D","Identificacion individual pendiente","No confirmado por cotejo de dist","392206b573a809997f3ff16fe68f456a52e931c372107eade9572b329bbe3321"
"src-tauri/icons/icon.png","D","Identificacion individual pendiente","No confirmado por cotejo de dist","273cd669e07c455ad1c7c095890a37984652157cee73128a867300067dfb80e7"
"src/assets/third-party/google-material/icons/Evaluation.svg","B","Google Material Symbols / Material Icons importado de Google; Apache-2.0; procedencia clasificada por carpeta; correspondencia individual no verificada","SI: trazados presentes en SVG inline del JS/CSS","dfed2167c8de9e7fb34721aa10a859ac68b8b7ebb0377d7dc2b3698a55350fd4"
"src/assets/original/HIS/HIS.ai","A","Creacion propia confirmada por declaracion humana de Matias Escobedo para el conjunto HIS","No confirmado por cotejo de dist","a3a51545a6bffd3bed70151e300a8ce8a5aebed241718bcebf1870c261de81c6"
