"ecosystem","name","version","declared_license","scope","source","checksum"
"npm","@babel/code-frame","7.29.7","MIT","desarrollo","https://registry.npmjs.org/@babel/code-frame/-/code-frame-7.29.7.tgz","sha512-Aup7aUOfpbAUg2ROOJN6Iw5f9DMBlzu0mIkm/malLQFN/YQgO48wCj0Kxa3sEHJvPVFg7siR+qRInwXd2qhQKw=="
"npm","@babel/compat-data","7.29.7","MIT","desarrollo","https://registry.npmjs.org/@babel/compat-data/-/compat-data-7.29.7.tgz","sha512-locTkQyKvwIEgBzVrn8693ebc97F2U8ZHjbXwDXJ5Fn2TCpNwTlKcaKLkdHop5c/icOFE7qt7Q9JC5hnKNa6Gg=="
"npm","@babel/core","7.29.7","MIT","desarrollo","https://registry.npmjs.org/@babel/core/-/core-7.29.7.tgz","sha512-RgHBCvtjbOK2gXSNBNIkNoEc9qoVEtau3hj8gEqKQuL3HZAibKarWFEI3Lfm6EYKkLalOh8eSrj9b+ch9H/VBA=="
"npm","@babel/generator","7.29.8","MIT","desarrollo","https://registry.npmjs.org/@babel/generator/-/generator-7.29.8.tgz","sha512-gZbepsdh3WDtgZKWL+vTPh71LSBrm/Y4/QDZBVCcYfmeTEEuoOYwlSy+G1StfJg+/Zy550u/3TATbm7qDbbMtg=="
"npm","@babel/helper-compilation-targets","7.29.7","MIT","desarrollo","https://registry.npmjs.org/@babel/helper-compilation-targets/-/helper-compilation-targets-7.29.7.tgz","sha512-wem6WaBj4NaVYVdNhLPPVacES6ZJ+KBBfSkTMD3YZxbP3rm3Di85tJU5ljaUNhaOynt+Aj0xruhYuzQBt8n71g=="
"npm","@babel/helper-globals","7.29.7","MIT","desarrollo","https://registry.npmjs.org/@babel/helper-globals/-/helper-globals-7.29.7.tgz","sha512-3nQVUAtvkKH9zahfWgw96Jc/uFOmjACE1kQz82E2lqWmHBgjzbNlsC22nuQTfahmWeQtTq5nQ/4Nnd2A1wj4zA=="
"npm","@babel/helper-module-imports","7.29.7","MIT","desarrollo","https://registry.npmjs.org/@babel/helper-module-imports/-/helper-module-imports-7.29.7.tgz","sha512-ejHwrQQYcm9xnTivShn2IDOlIzInN34AXskvq9QicvCtEzq1Vzclu/tKF8Jq1Cg8JG2GL6/EmjgsCT7lXepE3g=="
"npm","@babel/helper-module-transforms","7.29.7","MIT","desarrollo","https://registry.npmjs.org/@babel/helper-module-transforms/-/helper-module-transforms-7.29.7.tgz","sha512-UPUVSyXbOh627KiCIGQSgwWzGeBKLkaJ9PJEdrngIwMSzxLR4jS4+f1f1jb7VzBbg8nFLaYotvVPFCTqdrmTAg=="
"npm","@babel/helper-plugin-utils","7.29.7","MIT","desarrollo","https://registry.npmjs.org/@babel/helper-plugin-utils/-/helper-plugin-utils-7.29.7.tgz","sha512-G7sHYigPY17oO5SYWnfD/0MTBwVR781S/JI643e/JhUYgVgWE/61SoW3NH9KWUKyKq5LVh3npif99Wkt6j86Jw=="
"npm","@babel/helper-string-parser","7.29.7","MIT","desarrollo","https://registry.npmjs.org/@babel/helper-string-parser/-/helper-string-parser-7.29.7.tgz","sha512-Pb5ijPrZ89GDH8223L4UP8i6QApWxs04RbPQJTeWDV0/keR2E36MeKnyr6LYmUUvqRRI+Iv87SuF1W6ErINzYw=="
"npm","@babel/helper-validator-identifier","7.29.7","MIT","desarrollo","https://registry.npmjs.org/@babel/helper-validator-identifier/-/helper-validator-identifier-7.29.7.tgz","sha512-qehxGkRj55h/ff8EMaJ+cYhyaKlHIxqYDn682wQD7RNp9UujOQsHog2uS0r2vzr4pW+sXf90NeeayjcNaX3fFg=="
"npm","@babel/helper-validator-option","7.29.7","MIT","desarrollo","https://registry.npmjs.org/@babel/helper-validator-option/-/helper-validator-option-7.29.7.tgz","sha512-N9ZErrD+yW5geCDtBqnOoxmR8+tNKiGuxKlDpuJxfsqpa2dFcexaziGAE/qoHLiDDreVNMupxGmSoNlyvsA3gw=="
