"section","source","sha256"
"1","npm react 19.2.8 / LICENSE","da6d3703ed11cbe42bd212c725957c98da23cbff1998c05fa4b3d976d1a58e93"
"1","npm react-dom 19.2.8 / LICENSE","da6d3703ed11cbe42bd212c725957c98da23cbff1998c05fa4b3d976d1a58e93"
"1","npm scheduler 0.27.0 / LICENSE","da6d3703ed11cbe42bd212c725957c98da23cbff1998c05fa4b3d976d1a58e93"
"2","npm pdfjs-dist 6.3.289 / LICENSE","0d542e0c8804e39aa7f37eb00da5a762149dc682d7829451287e11b938e94594"
"3","npm @tauri-apps/api 2.11.1 / LICENSE_MIT","9dd42ea92cff2ede5cd477cbfcce051b2d0115c0ac7f368ee88cb545055dff1d"
"3","cargo tauri 2.11.5 / LICENSE_MIT","9dd42ea92cff2ede5cd477cbfcce051b2d0115c0ac7f368ee88cb545055dff1d"
"3","cargo tauri-build 2.6.3 / LICENSE_MIT","9dd42ea92cff2ede5cd477cbfcce051b2d0115c0ac7f368ee88cb545055dff1d"
"4","npm @tauri-apps/plugin-dialog 2.7.2 / LICENSE.spdx","eb8a6c84630461b352badcab1dbe5d0168c56d377358b2b8c86b51003272d5ef"
"4","npm @tauri-apps/plugin-opener 2.5.4 / LICENSE.spdx","eb8a6c84630461b352badcab1dbe5d0168c56d377358b2b8c86b51003272d5ef"
"4","npm @tauri-apps/plugin-sql 2.4.0 / LICENSE.spdx","eb8a6c84630461b352badcab1dbe5d0168c56d377358b2b8c86b51003272d5ef"
"4","cargo tauri-plugin-dialog 2.7.2 / LICENSE.spdx","eb8a6c84630461b352badcab1dbe5d0168c56d377358b2b8c86b51003272d5ef"
"4","cargo tauri-plugin-opener 2.5.4 / LICENSE.spdx","eb8a6c84630461b352badcab1dbe5d0168c56d377358b2b8c86b51003272d5ef"
"4","cargo tauri-plugin-sql 2.4.0 / LICENSE.spdx","eb8a6c84630461b352badcab1dbe5d0168c56d377358b2b8c86b51003272d5ef"
"5","cargo alloc-no-stdlib 2.0.4 / LICENSE","c0c56f26d9c051cac4d200c34c84e7ae9aaa853e01a982a1df08b09931e518ae"
"5","cargo brotli 8.0.4 / LICENSE.BSD-3-Clause","c0c56f26d9c051cac4d200c34c84e7ae9aaa853e01a982a1df08b09931e518ae"
"5","cargo brotli-decompressor 5.0.3 / LICENSE","c0c56f26d9c051cac4d200c34c84e7ae9aaa853e01a982a1df08b09931e518ae"
"6","cargo brotli 8.0.4 / LICENSE.MIT","3d180008e36922a4e8daec11c34c7af264fed5962d07924aea928c38e8663c94"
"7","cargo bzip2-sys 0.1.13+1.0.8 / LICENSE-MIT","c8c6324cf2f0f076e3ed5dea4a21f00bd4dd6fce44f72b110bc52e7fe06f6e1e"
"8","bzip2 1.0.8 / LICENSE (codigo C incorporado)","c6dbbf828498be844a89eaa3b84adbab3199e342eb5cb2ed2f0d4ba7ec0f38a3"
"9","cargo cssparser 0.36.0 / LICENSE","fab3dd6bdab226f1c08630b1dd917e11fcb4ec5e1e020e2c16f83a0a13863e85"
"9","cargo cssparser-macros 0.6.1 / LICENSE","fab3dd6bdab226f1c08630b1dd917e11fcb4ec5e1e020e2c16f83a0a13863e85"
"10","cargo dpi 0.1.2 / LICENSE","6dc0e068dcf3a5bc8e054205b85b7720e1d49265bbc64bf515d2cf79197df69a"
"11","cargo dpi 0.1.2 / LICENSE-LIBM-MIT","9eff396a99bafd208e7126602420d6864f6066c08b84485a5b032320a9c01997"
"12","cargo dtoa-short 0.3.5 / LICENSE","1f256ecad192880510e84ad60474eab7589218784b9a50bc7ceee34c2b91f1d5"
"13","cargo foldhash 0.1.5 / LICENSE","b1181a40b2a7b25cf66fd01481713bc1005df082c53ef73e851e55071b102744"
"13","cargo foldhash 0.2.0 / LICENSE","b1181a40b2a7b25cf66fd01481713bc1005df082c53ef73e851e55071b102744"
"14","cargo icu_collections 2.3.0 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo icu_locale_core 2.3.0 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo icu_normalizer 2.3.0 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo icu_normalizer_data 2.3.0 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo icu_properties 2.3.0 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo icu_properties_data 2.3.0 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo icu_provider 2.3.1 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo litemap 0.8.3 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo potential_utf 0.1.6 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo tinystr 0.8.4 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo writeable 0.6.4 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo yoke 0.8.3 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo yoke-derive 0.8.2 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo zerofrom 0.1.8 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo zerofrom-derive 0.1.7 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo zerotrie 0.2.5 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo zerovec 0.11.8 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"14","cargo zerovec-derive 0.11.6 / LICENSE","f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2"
"15","cargo libsqlite3-sys 0.30.1 / LICENSE","f59ba65550f2a5adff98ec6478d783402c8e0a3eb515025c0b3438f3d30dc39e"
"15","cargo rusqlite 0.32.1 / LICENSE","f59ba65550f2a5adff98ec6478d783402c8e0a3eb515025c0b3438f3d30dc39e"
"16","cargo option-ext 0.2.0 / LICENSE.txt","66a3107d5ad6a058aab753eaac2047ccb2ed0e39465dd0fe5844da3e300d5172"
"17","cargo serde 1.0.229 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"17","cargo serde_json 1.0.151 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"17","cargo unicode-ident 1.0.24 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"18","cargo subtle 2.6.1 / LICENSE","d1fc1bc0d155df60b2e7705b6b2ae02a05c96f948e1cec6e2fb86360b09f346b"
"19","cargo tauri-plugin-dialog 2.7.2 / LICENSE_MIT","89ff9689dcf9dd53968785d05a26f7898bb169dbfcada8d032b3e68cf0d55607"
"19","cargo tauri-plugin-opener 2.5.4 / LICENSE_MIT","89ff9689dcf9dd53968785d05a26f7898bb169dbfcada8d032b3e68cf0d55607"
"19","cargo tauri-plugin-sql 2.4.0 / LICENSE_MIT","89ff9689dcf9dd53968785d05a26f7898bb169dbfcada8d032b3e68cf0d55607"
"20","cargo unicode-ident 1.0.24 / LICENSE-UNICODE","f7db81051789b729fea528a63ec4c938fdcb93d9d61d97dc8cc2e9df6d47f2a1"
"21","cargo windows-sys 0.48.0 / license-mit","c2cfccb812fe482101a8f04597dfc5a9991a6b2748266c47ac91b6a5aae15383"
"21","cargo windows-sys 0.59.0 / license-mit","c2cfccb812fe482101a8f04597dfc5a9991a6b2748266c47ac91b6a5aae15383"
"21","cargo windows-sys 0.60.2 / license-mit","c2cfccb812fe482101a8f04597dfc5a9991a6b2748266c47ac91b6a5aae15383"
"21","cargo windows-sys 0.61.2 / license-mit","c2cfccb812fe482101a8f04597dfc5a9991a6b2748266c47ac91b6a5aae15383"
"22","cargo winreg 0.55.0 / LICENSE","ea021d8c6383c84d19c15ce90d3b1602cf448fdcc0bf3772c98e43c7bf1bf1d1"
"23","cargo zip 2.4.2 / LICENSE","04dc52136d82400b11df5f474949863a70a5d05d2278dec45b99c479494450a6"
"24","cargo zstd-sys 2.0.16+zstd.1.5.7 / LICENSE","a77b7cfeaf911ed410ffbe76f0cb2b24ad8a4d94e7ead5727e914425c416cc63"
"25","cargo zstd-sys 2.0.16+zstd.1.5.7 / LICENSE.BSD-3-Clause","48341f685c87304089aa099b23c386f8bacc519ef555aa7a13e239908907b3fd"
"26","cargo zstd-sys 2.0.16+zstd.1.5.7 / LICENSE.Mit","129e8edef29e9abcd2ebabe252f4ef1b1289cdca356bf0040284a2fbccfb96c8"
"27","Zstandard 1.5.7 / zstd/LICENSE (codigo C incorporado)","7055266497633c9025b777c78eb7235af13922117480ed5c674677adc381c9d8"
