"ecosystem","component","version","license","evidence","notice_files"
"cargo","adler2","2.0.1","0BSD OR MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-0BSD; LICENSE-MIT"
"cargo","aes","0.8.4","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","ahash","0.8.12","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","aho-corasick","1.1.5","Unlicense OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","COPYING; LICENSE-MIT"
"cargo","alloc-no-stdlib","2.0.4","BSD-3-Clause","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","alloc-stdlib","0.2.4","BSD-3-Clause","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)",""
"cargo","allocator-api2","0.2.21","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","anyhow","1.0.104","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","arrayvec","0.7.8","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","atoi","2.0.0","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","base64","0.22.1","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","bitflags","2.13.1","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","block-buffer","0.10.4","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","brotli","8.0.4","BSD-3-Clause AND MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE.BSD-3-Clause; LICENSE.MIT"
"cargo","brotli-decompressor","5.0.3","BSD-3-Clause/MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","bumpalo","3.20.3","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","byteorder","1.5.0","Unlicense OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","COPYING; LICENSE-MIT"
"cargo","bytes","1.12.1","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
