"section","source","sha256"
"1","cargo adler2 2.0.1 / LICENSE-0BSD","861399f8c21c042b110517e76dc6b63a2b334276c8cf17412fc3c8908ca8dc17"
"2","cargo adler2 2.0.1 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo anyhow 1.0.104 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo erased-serde 0.4.10 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo event-listener 5.4.2 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo itoa 1.0.18 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo once_cell 1.21.4 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo parking 2.2.1 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo pin-project-lite 0.2.17 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo semver 1.0.28 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo serde 1.0.229 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo serde_core 1.0.229 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo serde_json 1.0.151 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo serde-untagged 0.1.9 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo thiserror 2.0.20 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo thiserror 1.0.69 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo typeid 1.0.3 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"2","cargo zmij 1.0.23 / LICENSE-MIT","23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3"
"3","cargo aes 0.8.4 / LICENSE-MIT","f7e8ab639afef15573680c97f796166835cbeb3865175882fea41c60d106b733"
"4","cargo ahash 0.8.12 / LICENSE-MIT","0444c6991eead6822f7b9102e654448d51624431119546492e8b231db42c48bb"
"5","cargo aho-corasick 1.1.5 / COPYING","01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f"
"5","cargo byteorder 1.5.0 / COPYING","01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f"
"5","cargo memchr 2.8.3 / COPYING","01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f"
"5","cargo same-file 1.0.6 / COPYING","01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f"
"5","cargo walkdir 2.5.0 / COPYING","01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f"
"5","cargo winapi-util 0.1.11 / COPYING","01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f"
"6","cargo aho-corasick 1.1.5 / LICENSE-MIT","0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f"
